"model","sex","Agegroups","haz.mean","haz.lower","haz.upper"
"Collar Only","Female",1,-6.07592476724405,-6.7062000453881,-6.03950759892112
"Collar Only","Female",2,-6.24517494958203,-6.73815523485403,-6.13464449707787
"Collar Only","Female",3,-6.24463732607768,-6.72284296467812,-6.39876352127853
"Collar Only","Female",4,-6.1353603554283,-6.60242010217933,-6.42058264353401
"Collar Only","Female",5,-6.17477665325115,-6.65526495028965,-6.60703935660898
"Collar Only","Female",6,-6.0411276925251,-6.53368570556664,-6.31437597900242
"Collar Only","Female",7,-6.22963988591007,-6.87979272823225,-5.74611876849503
"Surveillance Only","Female",1,-6.34554445600853,-6.8007163431048,-6.03950759892112
"Surveillance Only","Female",2,-6.1760112831349,-6.68371964908326,-6.13464449707787
"Surveillance Only","Female",3,-7.04054502023482,-8.3399423742402,-6.39876352127853
"Surveillance Only","Female",4,-8.42807807916294,-12.5495492180464,-6.42058264353401
"Surveillance Only","Female",5,-10.2304044867443,-17.9330679071785,-6.60703935660898
"Surveillance Only","Female",6,-12.1386942442878,-23.699053475926,-6.31437597900242
"Surveillance Only","Female",7,-14.0765584839128,-30.0652280118012,-5.74611876849503
"Collar & Surveillance","Female",1,-6.2907492581226,-6.59345442174672,-6.03950759892112
"Collar & Surveillance","Female",2,-6.4692355202637,-6.83666676974562,-6.13464449707787
"Collar & Surveillance","Female",3,-6.73283322453331,-7.11206566652645,-6.39876352127853
"Collar & Surveillance","Female",4,-6.8017164859769,-7.2017981614215,-6.42058264353401
"Collar & Surveillance","Female",5,-6.99797364850135,-7.45654204525449,-6.60703935660898
"Collar & Surveillance","Female",6,-6.7372094372764,-7.21020450615889,-6.31437597900242
"Collar & Surveillance","Female",7,-6.34234211580398,-7.04462557171231,-5.74611876849503
"Collar Only","Male",1,-6.7262537531657,-7.49015712207327,-6.24013820173685
"Collar Only","Male",2,-6.23459609286875,-6.6790744379709,-5.49827327425993
"Collar Only","Male",3,-5.53847518208136,-5.92400531136817,-5.4345544183564
"Collar Only","Male",4,-4.91225522189709,-5.30840420382314,-5.5313023383986
"Collar Only","Male",5,-4.70793324227973,-5.29548546302544,-5.69651732022151
"Collar Only","Male",6,-4.48063418735512,-6.01250614655904,-5.31562486266695
"Surveillance Only","Male",1,-7.15722849686778,-7.98993939277887,-6.24013820173685
"Surveillance Only","Male",2,-5.38015617485783,-5.67765583523512,-5.49827327425993
"Surveillance Only","Male",3,-5.61232404152594,-6.0444260465866,-5.4345544183564
"Surveillance Only","Male",4,-7.27814087133951,-9.5402507823626,-5.5313023383986
"Surveillance Only","Male",5,-9.32455951117281,-14.4789100497998,-5.69651732022151
"Surveillance Only","Male",6,-11.4658733668271,-20.5543037403539,-5.31562486266695
"Collar & Surveillance","Male",1,-6.59496607537835,-7.04739842280865,-6.24013820173685
"Collar & Surveillance","Male",2,-5.75243300088833,-6.01493195402703,-5.49827327425993
"Collar & Surveillance","Male",3,-5.64471419644978,-5.89346637009615,-5.4345544183564
"Collar & Surveillance","Male",4,-5.80391311921209,-6.10479098294788,-5.5313023383986
"Collar & Surveillance","Male",5,-6.16494320260689,-6.7032053509387,-5.69651732022151
"Collar & Surveillance","Male",6,-6.55046377058886,-8.00555567115552,-5.31562486266695
